"Record_type"	"Sampling_type"	"Landing_country"	"Vessel_flag_country"	"Year"	"Project"	"Trip_number"	"Station_number"	"Quarter"	"Month"	"Species"	"Sex"	"Catch_category"	"Landing_category"	"Comm_size_cat_scale"	"Comm_size_cat"	"Stock"	"Area"	"Statistical_rectangle"	"Subpolygon"	"Length_class"	"Age"	"Specimen_No"	"Length_code"	"Aging_method"	"Age_plus_group"	"Otolith_weight"	"Otolith_side"	"Weight"	"Maturity_staging"	"Maturity_scale"	"Maturity_stage"	"Trip_id"
"57"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"208"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"58"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"160"	"scm"	"OWR"	"-"	"-"	"-"	14	"Visual"	"1-8"	"1"	"23891"
"59"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"103"	"scm"	"OWR"	"-"	"-"	"-"	13	"Visual"	"1-8"	"1"	"23891"
"60"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"201"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"61"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"202"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"62"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"293"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"63"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"212"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"64"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	2	"98"	"scm"	"OWR"	"-"	"-"	"-"	13	"Visual"	"1-8"	"1"	"23891"
"65"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"73"	"scm"	"OWR"	"-"	"-"	"-"	13	"Visual"	"1-8"	"1"	"23891"
"66"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"157"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"67"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"46"	"scm"	"OWR"	"-"	"-"	"-"	13	"Visual"	"1-8"	"1"	"23891"
"68"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"298"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"69"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"81"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"70"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"206"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"71"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"260"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"72"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"99"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"73"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"37"	"scm"	"OWR"	"-"	"-"	"-"	14	"Visual"	"1-8"	"1"	"23891"
"74"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"205"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"75"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	130	1	"263"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"76"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"45"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"77"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"39"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"78"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"290"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"79"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"91"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"80"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"287"	"scm"	"OWR"	"-"	"-"	"-"	15	"Visual"	"1-8"	"1"	"23891"
"81"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"204"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"82"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"291"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"83"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"214"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"84"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"47"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"85"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"96"	"scm"	"OWR"	"-"	"-"	"-"	14	"Visual"	"1-8"	"1"	"23891"
"86"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	2	"265"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"87"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"292"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"88"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	135	1	"106"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"89"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"70"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"90"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"288"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"91"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"92"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"92"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"262"	"scm"	"OWR"	"-"	"-"	"-"	20	"Visual"	"1-8"	"1"	"23891"
"93"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"156"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"94"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"72"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"95"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"211"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"96"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"200"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"97"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"155"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"98"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"285"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"99"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"266"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"100"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"84"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"101"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"261"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"102"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"97"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"103"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"-"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"209"	"scm"	"OWR"	"-"	"-"	"-"	17	"Visual"	"1-8"	"1"	"23891"
"104"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"33"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"105"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"30"	"scm"	"OWR"	"-"	"-"	"-"	16	"Visual"	"1-8"	"1"	"23891"
"106"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"90"	"scm"	"OWR"	"-"	"-"	"-"	20	"Visual"	"1-8"	"1"	"23891"
"107"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	140	1	"297"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"108"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	145	1	"102"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"109"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	145	1	"28"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"110"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	145	1	"181"	"scm"	"OWR"	"-"	"-"	"-"	20	"Visual"	"1-8"	"1"	"23891"
"111"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	145	1	"34"	"scm"	"OWR"	"-"	"-"	"-"	20	"Visual"	"1-8"	"1"	"23891"
"112"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	145	1	"48"	"scm"	"OWR"	"-"	"-"	"-"	20	"Visual"	"1-8"	"1"	"23891"
"113"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	145	1	"74"	"scm"	"OWR"	"-"	"-"	"-"	20	"Visual"	"1-8"	"1"	"23891"
"114"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	145	1	"289"	"scm"	"OWR"	"-"	"-"	"-"	21	"Visual"	"1-8"	"1"	"23891"
"115"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	145	1	"29"	"scm"	"OWR"	"-"	"-"	"-"	18	"Visual"	"1-8"	"1"	"23891"
"116"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	150	1	"264"	"scm"	"OWR"	"-"	"-"	"-"	22	"Visual"	"1-8"	"1"	"23891"
"117"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	150	1	"80"	"scm"	"OWR"	"-"	"-"	"-"	23	"Visual"	"1-8"	"1"	"23891"
"118"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	150	1	"215"	"scm"	"OWR"	"-"	"-"	"-"	24	"Visual"	"1-8"	"1"	"23891"
"119"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"M"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	150	1	"26"	"scm"	"OWR"	"-"	"-"	"-"	21	"Visual"	"1-8"	"1"	"23891"
"120"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	150	2	"141"	"scm"	"OWR"	"-"	"-"	"-"	24	"Visual"	"1-8"	"1"	"23891"
"121"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	150	1	"161"	"scm"	"OWR"	"-"	"-"	"-"	20	"Visual"	"1-8"	"1"	"23891"
"122"	"CA"	"M"	"SWE"	"SWE"	"2014"	"SWE-DCF"	"2001"	999	1	1	"Clupea harengus"	"F"	"LAN"	"HUC"	"-"	"-"	"her-mix(3a22-47d3)"	"24"	"39G4"	"-"	155	2	"240"	"scm"	"OWR"	"-"	"-"	"-"	27	"Visual"	"1-8"	"2"	"23891"
